day,unit_id,plant_name,mc_rated,capacity,optimal_markup,best_revenue,base_revenue,sdr,load_mean,wind_mean,solar_mean,net_load,spike_frac,price_mean,price_std,pred_mean,pred_spike,pred_q95_mean
20260101,Thermal_9,G16,200.69,200.0,-0.11,9.737602302985172,-3.4320827999999803,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_10,G16,200.69,200.0,-0.11,9.737602302985172,-3.4320827999999803,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_11,G16,200.69,200.0,-0.11,9.737602302985172,-3.4320827999999803,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_12,G16,200.69,200.0,-0.11,9.737602302985172,-3.4320827999999803,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_13,G16,200.69,200.0,-0.11,9.737602302985172,-3.4320827999999803,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_14,G16,200.69,200.0,-0.11,9.737602302985172,-3.4320827999999803,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260102,Thermal_9,G16,200.69,200.0,-0.11,27.954014989039003,15.07658472000002,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_10,G16,200.69,200.0,-0.11,27.954014989039003,15.07658472000002,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_11,G16,200.69,200.0,-0.11,27.954014989039003,15.07658472000002,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_12,G16,200.69,200.0,-0.11,27.954014989039003,15.07658472000002,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_13,G16,200.69,200.0,-0.11,27.954014989039003,15.07658472000002,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_14,G16,200.69,200.0,-0.11,27.954014989039003,15.07658472000002,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260103,Thermal_9,G16,200.69,200.0,-0.12,8.424227380005325,-3.434385387368401,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_10,G16,200.69,200.0,-0.12,8.424227380005325,-3.434385387368401,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_11,G16,200.69,200.0,-0.12,8.424227380005325,-3.434385387368401,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_12,G16,200.69,200.0,-0.12,8.424227380005325,-3.434385387368401,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_13,G16,200.69,200.0,-0.12,8.424227380005325,-3.434385387368401,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_14,G16,200.69,200.0,-0.12,8.424227380005325,-3.434385387368401,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260104,Thermal_9,G16,200.69,200.0,-0.12,15.510208080910216,1.1993928821052844,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_10,G16,200.69,200.0,-0.12,15.510208080910216,1.1993928821052844,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_11,G16,200.69,200.0,-0.12,15.510208080910216,1.1993928821052844,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_12,G16,200.69,200.0,-0.12,15.510208080910216,1.1993928821052844,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_13,G16,200.69,200.0,-0.12,15.510208080910216,1.1993928821052844,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_14,G16,200.69,200.0,-0.12,15.510208080910216,1.1993928821052844,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260105,Thermal_9,G16,200.69,200.0,-0.12,8.402577365127348,-3.4320827999999803,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_10,G16,200.69,200.0,-0.12,8.402577365127348,-3.4320827999999803,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_11,G16,200.69,200.0,-0.12,8.402577365127348,-3.4320827999999803,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_12,G16,200.69,200.0,-0.12,8.402577365127348,-3.4320827999999803,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_13,G16,200.69,200.0,-0.12,8.402577365127348,-3.4320827999999803,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_14,G16,200.69,200.0,-0.12,8.402577365127348,-3.4320827999999803,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260106,Thermal_9,G16,200.69,200.0,-0.12,58.39173092316988,47.55111648947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_10,G16,200.69,200.0,-0.12,58.39173092316988,47.55111648947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_11,G16,200.69,200.0,-0.12,58.39173092316988,47.55111648947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_12,G16,200.69,200.0,-0.12,58.39173092316988,47.55111648947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_13,G16,200.69,200.0,-0.12,58.39173092316988,47.55111648947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_14,G16,200.69,200.0,-0.12,58.39173092316988,47.55111648947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260107,Thermal_9,G16,200.69,200.0,-0.12,20.941328885313375,8.133531812631597,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_10,G16,200.69,200.0,-0.12,20.941328885313375,8.133531812631597,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_11,G16,200.69,200.0,-0.12,20.941328885313375,8.133531812631597,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_12,G16,200.69,200.0,-0.12,20.941328885313375,8.133531812631597,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
