day,unit_id,plant_name,mc_rated,capacity,optimal_markup,best_revenue,base_revenue,sdr,load_mean,wind_mean,solar_mean,net_load,spike_frac,price_mean,price_std,pred_mean,pred_spike,pred_q95_mean
20260101,Thermal_15,G17,203.28,200.0,-0.12,8.93137293405155,-3.47887779999998,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_16,G17,203.28,200.0,-0.12,8.93137293405155,-3.47887779999998,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_17,G17,203.28,200.0,-0.12,8.93137293405155,-3.47887779999998,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_18,G17,203.28,200.0,-0.12,8.93137293405155,-3.47887779999998,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_19,G17,203.28,200.0,-0.12,8.93137293405155,-3.47887779999998,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260101,Thermal_20,G17,203.28,200.0,-0.12,8.93137293405155,-3.47887779999998,1.742918521566533,7513.98866390928,566.1762061403509,120.65537280701756,4827.157084961912,0.052083333333333336,276.02573,135.70694960685114,294.9245238304138,0.09375,362.58333412806195
20260102,Thermal_15,G17,203.28,200.0,-0.12,27.09316520327684,14.954917720000013,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_16,G17,203.28,200.0,-0.12,27.09316520327684,14.954917720000013,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_17,G17,203.28,200.0,-0.12,27.09316520327684,14.954917720000013,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_18,G17,203.28,200.0,-0.12,27.09316520327684,14.954917720000013,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_19,G17,203.28,200.0,-0.12,27.09316520327684,14.954917720000013,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260102,Thermal_20,G17,203.28,200.0,-0.12,27.09316520327684,14.954917720000013,1.764486070811114,7371.144306657804,409.85822368421054,173.93941885964912,4787.346664113945,0.13541666666666666,327.9374745833333,208.29405079609143,328.5851273536682,0.14583333333333334,385.55656417210895
20260103,Thermal_15,G17,203.28,200.0,-0.12,7.636503909746322,-3.4811803873684024,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_16,G17,203.28,200.0,-0.12,7.636503909746322,-3.4811803873684024,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_17,G17,203.28,200.0,-0.12,7.636503909746322,-3.4811803873684024,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_18,G17,203.28,200.0,-0.12,7.636503909746322,-3.4811803873684024,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_19,G17,203.28,200.0,-0.12,7.636503909746322,-3.4811803873684024,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260103,Thermal_20,G17,203.28,200.0,-0.12,7.636503909746322,-3.4811803873684024,1.865219022657793,7212.90535610482,843.2859649122806,201.6425438596491,4167.976847332891,0.052083333333333336,273.9780883114035,136.11590314614728,282.1692382494609,0.07291666666666667,331.75565163294476
20260104,Thermal_15,G17,203.28,200.0,-0.12,14.642857946931526,1.1338798821052816,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_16,G17,203.28,200.0,-0.12,14.642857946931526,1.1338798821052816,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_17,G17,203.28,200.0,-0.12,14.642857946931526,1.1338798821052816,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_18,G17,203.28,200.0,-0.12,14.642857946931526,1.1338798821052816,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_19,G17,203.28,200.0,-0.12,14.642857946931526,1.1338798821052816,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260104,Thermal_20,G17,203.28,200.0,-0.12,14.642857946931526,1.1338798821052816,1.908874410958244,7058.42639629303,892.3438596491228,180.60427631578946,3985.4782603281183,0.07291666666666667,292.1058167324561,157.8097877082319,330.32551685969037,0.15625,414.2375373840332
20260105,Thermal_15,G17,203.28,200.0,-0.12,7.649658845565368,-3.47887779999998,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_16,G17,203.28,200.0,-0.12,7.649658845565368,-3.47887779999998,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_17,G17,203.28,200.0,-0.12,7.649658845565368,-3.47887779999998,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_18,G17,203.28,200.0,-0.12,7.649658845565368,-3.47887779999998,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_19,G17,203.28,200.0,-0.12,7.649658845565368,-3.47887779999998,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260105,Thermal_20,G17,203.28,200.0,-0.12,7.649658845565368,-3.47887779999998,2.324881653134497,5746.578882130877,774.0383771929825,184.22264254385968,2788.317862394035,0.052083333333333336,275.02569687500005,136.02453698179787,246.84993839263916,0.0,421.4278113047282
20260106,Thermal_15,G17,203.28,200.0,-0.11,57.450127414234764,47.29842348947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_16,G17,203.28,200.0,-0.11,57.450127414234764,47.29842348947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_17,G17,203.28,200.0,-0.11,57.450127414234764,47.29842348947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_18,G17,203.28,200.0,-0.11,57.450127414234764,47.29842348947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_19,G17,203.28,200.0,-0.11,57.450127414234764,47.29842348947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260106,Thermal_20,G17,203.28,200.0,-0.11,57.450127414234764,47.29842348947368,2.358067698215087,5699.565253973279,581.178399122807,215.8418311403509,2902.5450237101213,0.28125,418.15413029605253,273.27432281835416,409.6134220759074,0.2708333333333333,531.5168298085531
20260107,Thermal_15,G17,203.28,200.0,-0.12,19.94016363129576,8.039941812631595,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_16,G17,203.28,200.0,-0.12,19.94016363129576,8.039941812631595,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_17,G17,203.28,200.0,-0.12,19.94016363129576,8.039941812631595,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_18,G17,203.28,200.0,-0.12,19.94016363129576,8.039941812631595,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_19,G17,203.28,200.0,-0.12,19.94016363129576,8.039941812631595,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260107,Thermal_20,G17,203.28,200.0,-0.12,19.94016363129576,8.039941812631595,1.801805441122807,7296.554076995267,622.2810307017544,114.33525219298247,4559.93779410053,0.10416666666666667,307.5699978947368,186.40665961258821,299.6319139798482,0.09375,367.1229500770569
20260108,Thermal_15,G17,203.28,200.0,-0.12,15.983246176156838,3.43420588210528,1.669328628433723,7851.814140956832,566.1762061403509,120.65537280701756,5164.982562009463,0.08333333333333333,295.92973131578947,168.44122323064835,291.69618368148804,0.09375,357.44090445836383
